,ID,Color,Amplitude
666,109511,z,0.7865
667,1095154,z,2.602
668,1095206,z,3.7985
669,1095576,z,1.7475
670,1095899,z,1.263
671,1096006,z,0.974
672,1096036,z,1.4925
673,1096088,z,3.8075
674,1096114,z,4.3065
675,109616,i,0.7315
676,1096278,z,4.433
677,1096585,z,0.7455
678,1096751,r,0.993
679,1096758,z,2.0505
680,1096833,z,1.328
681,1096911,z,4.001
682,1097088,z,3.6135
683,1097300,z,1.089
684,1097304,r,0.902
685,1097406,z,2.1555
686,1097548,z,3.286
687,1097561,z,1.476
688,1097688,z,3.6015
689,1097857,z,1.8565
690,1097866,z,0.787
691,1097899,i,0.966
692,1098103,i,1.317
693,1098291,r,0.697
694,1098353,z,1.235
695,1098706,z,0.8825
696,1098708,z,1.604
697,1098927,g,0.6205
698,1099240,z,2.586
699,1099252,z,2.456
700,1099265,i,0.4545
701,1099385,z,3.3085
702,1099425,z,2.755
703,1099478,z,3.1775
704,1099515,z,1.0675
705,1099721,z,1.713
706,1099738,z,1.1015
707,1100056,z,1.1645
708,1100092,z,1.093
709,1100526,z,3.0515
710,1100551,z,2.179
711,1100607,z,2.2165
712,1100749,z,0.7685
713,1100808,z,1.14
714,1100886,z,2.0165
715,1100978,z,2.0775
716,1101134,z,3.5035
717,1101433,z,3.4175
718,1101439,z,0.744
719,1101464,z,0.517
720,1101608,z,2.7445
721,110177,z,0.5725
722,1101800,z,1.5895
723,1101879,z,3.696
724,1102005,z,0.9555
725,11021,z,0.482
726,1102237,z,2.4405
727,1102431,z,2.8905
728,1102526,i,1.4085
729,1103155,z,0.7285
730,1103175,z,0.9615
731,1103288,z,0.695
732,1103396,z,2.3875
733,1103596,z,2.5275
734,1103674,z,3.7825
735,1103885,z,2.695
736,1103932,z,3.1085
737,1103965,z,3.3045
738,1104003,z,4.722
739,1104006,z,1.133
740,1104341,z,2.8355
741,1104480,z,2.5015
742,1104682,i,0.611
743,1104817,z,3.9995
744,1104883,z,1.0015
745,1105252,i,0.6405
746,1105293,z,1.0015
747,1105317,z,3.369
748,1105342,z,2.3955
749,1105393,z,1.9565
750,1105414,z,0.565
751,1105636,z,2.3435
752,1105920,z,2.5845
753,1105980,z,0.8475
754,1106051,i,0.4745
